Demonstration Name,Unintentional Needle Drop,,,Needle Out of View,,
Suturing_H005_1668_1828,,,,,,Anomaly
Suturing_H005_2454_2624,,,,,,Anomaly
Suturing_I001_1047_1194,,,,,,Anomaly
Suturing_I001_1809_2017,,,,,,Anomaly
Suturing_I001_2643_2905,,,,,,0
Suturing_I002_1371_1600,,,,,,Anomaly
Suturing_I002_2631_2752,,,,,,Anomaly
Suturing_I002_3452_3623,,,,,,Anomaly
Suturing_I003_1388_1620,,,,,,Anomaly
Suturing_I003_2444_2604,,,,,,Anomaly
Suturing_I003_3564_3675,,,,,,Anomaly
Suturing_I004_1058_1126,,,,,,Anomaly
Suturing_I004_1164_1312,,,,,,Anomaly
Suturing_I004_2028_2234,,,,,,Anomaly
Suturing_I004_3051_3219,,,,,,0
Suturing_I005_1365_1486,,,,,,Anomaly
Suturing_I005_2189_2312,,,,,,Anomaly
Suturing_I005_2978_3077,,,,,,Anomaly
